 a0 a1 b0 b1 a0b a1b b1b b0b
0 - 8 - 2 24 - - 6
1 - 9 - 3 25 - - 7
2 - 10 0 4 26 - - -
3 - 11 1 5 27 - - -
4 - 12 2 6 28 - - -
5 - 13 3 7 29 - - -
6 - 14 4 - 30 - 0 -
7 - 15 5 - 31 - 1 -
8 0 16 - 10 - - - 14
9 1 17 - 11 - - - 15
10 2 18 8 12 - - - -
11 3 19 9 13 - - - -
12 4 20 10 14 - - - -
13 5 21 11 15 - - - -
14 6 22 12 - - - 8 -
15 7 23 13 - - - 9 -
16 8 24 - 18 - - - 22
17 9 25 - 19 - - - 23
18 10 26 16 20 - - - -
19 11 27 17 21 - - - -
20 12 28 18 22 - - - -
21 13 29 19 23 - - - -
22 14 30 20 - - - 16 -
23 15 31 21 - - - 17 -
24 16 - - 26 - 0 - 30
25 17 - - 27 - 1 - 31
26 18 - 24 28 - 2 - -
27 19 - 25 29 - 3 - -
28 20 - 26 30 - 4 - -
29 21 - 27 31 - 5 - -
30 22 - 28 - - 6 24 -
31 23 - 29 - - 7 25 -
